,passer_player_name,player_id,total_passing_yards,pass_yds_per_attempt,pass_attempts,passing_tds,first_down_passes,cmp,ints,cmp_percentage,epa,yac_sum,yac_avg,air_epa_avg,yac_epa_avg,air_wpa_avg,yac_wpa_avg,two_pt_sum,sacks,fumbles,fumbles_to_turnovers,td_rate,int_rate,rusher_player_name,rushing_tds,rushing_yds_sum,rushing_yds_avg,fpts
10,C.Rush,00-0033662,303.0,8.911764705882353,53.0,0.0,13.0,34.0,4.0,0.6415094339622641,-0.4726751135400789,149.0,4.382352941176471,0.11132830427412119,-0.5473970148552403,0.017976731275736648,-0.02375488250478295,0,1.0,1.0,0,0.0,0.07547169811320754,C.Rush,0.0,-4.0,-1.0,3.7199999999999993
11,C.Stroud,00-0039163,3041.0,11.139194139194139,449.0,19.0,136.0,273.0,8.0,0.6080178173719376,0.0860581555229753,1365.0,5.0,0.45564709603485426,-0.26463838082120744,0.0006928994664824512,0.0033547293031498844,0,23.0,2.0,0,0.042316258351893093,0.017817371937639197,C.Stroud,1.0,209.0,4.354166666666667,208.54
12,C.Tune,00-0038582,42.0,6.0,20.0,0.0,2.0,7.0,1.0,0.35,-0.994967226104927,28.0,4.0,-0.2889833583418895,-0.3881464855279777,0.01074455391693242,-0.02047670421501001,0,5.0,0.0,0,0.0,0.05,C.Tune,0.0,23.0,4.6,1.9799999999999998
13,C.Ward,00-0040676,3169.0,9.811145510835914,595.0,15.0,153.0,323.0,7.0,0.5428571428571428,-0.19033639040696237,1547.0,4.7894736842105265,0.3390028628680077,-0.3262956724665237,0.008561438895669403,-0.007450328800127664,0,55.0,9.0,8,0.025210084033613446,0.011764705882352941,C.Ward,2.0,159.0,4.076923076923077,184.66
14,C.Wentz,00-0032950,1216.0,11.054545454545455,189.0,6.0,58.0,110.0,5.0,0.582010582010582,0.033336523625147135,573.0,5.209090909090909,0.3755808277192481,-0.17955140564245756,0.008253130759619217,-0.004302738741652644,1,19.0,0.0,0,0.031746031746031744,0.026455026455026454,0,0.0,0.0,0.0,64.64
15,C.Williams,00-0039918,3942.0,11.945454545454545,596.0,27.0,187.0,330.0,7.0,0.5536912751677853,0.07076645679689199,1811.0,5.487878787878788,0.5344389301207039,-0.38362190816738617,0.0014955906877411928,0.003357649159599161,1,24.0,2.0,1,0.04530201342281879,0.01174496644295302,C.Williams,3.0,383.0,4.974025974025974,307.98
16,D.Gabriel,00-0040704,937.0,8.518181818181818,205.0,7.0,45.0,110.0,2.0,0.5365853658536586,-0.21901386261442357,500.0,4.545454545454546,0.2204713658808144,-0.29936455393669364,0.0008255277393649362,-0.002909199744805375,0,19.0,0.0,0,0.03414634146341464,0.00975609756097561,D.Gabriel,0.0,86.0,6.142857142857143,70.07999999999998
17,D.Jones,00-0035710,3101.0,11.881226053639846,411.0,19.0,149.0,261.0,8.0,0.635036496350365,0.13989894668170125,1344.0,5.149425287356322,0.38422627501693685,-0.11465550251666551,-0.0009393726197134097,0.008026053177821325,1,22.0,4.0,4,0.046228710462287104,0.019464720194647202,D.Jones,5.0,161.0,3.577777777777778,224.14000000000001
18,D.Maye,00-0039851,4394.0,12.412429378531073,540.0,31.0,203.0,354.0,8.0,0.6555555555555556,0.29788496553367677,1746.0,4.932203389830509,0.7277540214166897,-0.2583569917080201,0.002542511695112512,0.008483631152423518,1,47.0,4.0,3,0.05740740740740741,0.014814814814814815,D.Maye,4.0,450.0,4.368932038834951,348.76
19,D.Mills,00-0036898,915.0,10.054945054945055,169.0,5.0,48.0,91.0,1.0,0.5384615384615384,-0.09893651943712015,269.0,2.956043956043956,0.5761701514175288,-0.5860750054072644,0.0072751129093648476,-0.006769311913060693,1,8.0,0.0,0,0.029585798816568046,0.005917159763313609,D.Mills,1.0,60.0,4.615384615384615,68.6
