,passer_player_name,player_id,total_passing_yards,pass_yds_per_attempt,pass_attempts,passing_tds,first_down_passes,cmp,ints,cmp_percentage,epa,yac_sum,yac_avg,air_epa_avg,yac_epa_avg,air_wpa_avg,yac_wpa_avg,two_pt_sum,sacks,fumbles,fumbles_to_turnovers,td_rate,int_rate,rusher_player_name,rushing_tds,rushing_yds_sum,rushing_yds_avg,fpts
0,A.Brown,00-0037175,302.0,13.727272727272727,54.0,0.0,13.0,22.0,2.0,0.4074074074074074,-0.38942120734336466,142.0,6.454545454545454,0.49730838088695234,-0.6944102977756715,0.00016231800211554044,-0.0052137653283933156,0,5.0,2.0,1,0.0,0.037037037037037035,A.Brown,0.0,-5.0,-1.6666666666666667,5.58
1,A.Dalton,00-0027973,2871.0,11.392857142857142,404.0,18.0,135.0,252.0,9.0,0.6237623762376238,0.01802270005011773,1318.0,5.23015873015873,0.4369783533353587,-0.2923872441073375,0.0019823618553114577,0.0008740466192994937,1,25.0,4.0,1,0.04455445544554455,0.022277227722772276,A.Dalton,0.0,54.0,1.8,174.24
2,A.Rodgers,00-0023459,3695.0,10.557142857142857,577.0,26.0,177.0,350.0,12.0,0.6065857885615251,-0.031277317604713244,1899.0,5.425714285714286,0.43075154818865063,-0.3450356052994913,0.002844306755804905,-0.0010774902956626824,2,32.0,5.0,2,0.045060658578856154,0.02079722703639515,A.Rodgers,1.0,101.0,2.8055555555555554,243.9
3,B.Mayfield,00-0034855,2163.0,10.761194029850746,372.0,10.0,94.0,201.0,8.0,0.5403225806451613,-0.1554469031491406,1131.0,5.626865671641791,0.26532968128605683,-0.24940558407795338,0.004888922577582042,-0.005446284215640911,0,36.0,3.0,1,0.026881720430107527,0.021505376344086023,B.Mayfield,1.0,89.0,2.870967741935484,123.42
4,B.Perkins,00-0035939,161.0,8.473684210526315,40.0,1.0,10.0,19.0,2.0,0.475,-0.4662732830261027,65.0,3.4210526315789473,0.3279847204385356,-0.6533963396209067,0.0008859518387426097,-0.007252557541836386,0,6.0,0.0,0,0.025,0.05,B.Perkins,0.0,90.0,4.7368421052631575,15.440000000000001
5,B.Purdy,00-0037834,1374.0,12.052631578947368,181.0,13.0,66.0,114.0,4.0,0.6298342541436464,0.20195089494801027,706.0,6.192982456140351,0.26580284296913104,0.06601489674613314,0.002954379582577448,0.0061155882114607586,0,11.0,0.0,0,0.0718232044198895,0.022099447513812154,B.Purdy,1.0,13.0,0.5909090909090909,106.26
6,B.Rypien,00-0034955,483.0,9.11320754716981,96.0,2.0,24.0,53.0,4.0,0.5520833333333334,-0.30446716733104157,267.0,5.037735849056604,0.4037654327942372,-0.5677768104352938,0.014253816741917606,-0.019698230194742136,0,8.0,1.0,1,0.020833333333333332,0.041666666666666664,B.Rypien,0.0,7.0,1.1666666666666667,18.02
7,B.Zappe,00-0038108,781.0,12.015384615384615,98.0,5.0,37.0,65.0,3.0,0.6632653061224489,0.07841855008807735,384.0,5.907692307692308,0.17895915406330917,0.05657307057749476,0.0020430473724514305,0.005392346722119717,0,6.0,2.0,2,0.05102040816326531,0.030612244897959183,B.Zappe,0.0,0.0,0.0,41.239999999999995
8,C.Beathard,00-0033936,35.0,5.0,12.0,0.0,2.0,7.0,1.0,0.5833333333333334,-0.9667617271200664,20.0,2.857142857142857,-0.468559877925806,-0.4706358702718264,-1.848312174181708e-06,-0.00017982462966096603,0,1.0,0.0,0,0.0,0.08333333333333333,C.Beathard,0.0,-4.0,-1.0,-1.0
9,C.Daniel,00-0026544,52.0,6.5,14.0,1.0,4.0,8.0,0.0,0.5714285714285714,0.17350292139356158,63.0,7.875,-0.4290684565736822,0.5946335534099495,0.00267941221098105,-0.007137510304649664,1,1.0,0.0,0,0.07142857142857142,0.0,0,0.0,0.0,0.0,8.08
10,C.McCoy,00-0027688,780.0,8.666666666666666,145.0,1.0,34.0,90.0,3.0,0.6206896551724138,-0.2617552864116169,368.0,4.088888888888889,0.18182943493880113,-0.3165167747257003,-0.0014105018412116214,-0.0007068382463220334,0,13.0,1.0,0,0.006896551724137931,0.020689655172413793,C.McCoy,0.0,36.0,2.5714285714285716,32.800000000000004
11,C.Rush,00-0033662,1051.0,11.180851063829786,169.0,5.0,52.0,94.0,3.0,0.5562130177514792,-0.08794996549643992,455.0,4.840425531914893,0.38095338873567774,-0.3943754215797639,0.005736776306611728,-0.0019261384178970188,0,7.0,1.0,0,0.029585798816568046,0.01775147928994083,C.Rush,0.0,6.0,0.6666666666666666,56.64
