passer_player_name,player_id,team,total_passing_yards,pass_yds_per_attempt,pass_attempts,passing_tds,first_down_passes,cmp,ints,cmp_percentage,epa,yac_sum,yac_avg,air_epa_avg,yac_epa_avg,air_wpa_avg,yac_wpa_avg,two_pt_sum,sacks,fumbles,fumbles_to_turnovers,td_rate,int_rate,rusher_player_name,rushing_tds,rushing_yds_sum,rushing_yds_avg,cur_fpts,year,next_fpts
D.Marino,00-0010379,MIA,2448.0,12.0,379.0,12.0,120.0,204.0,17.0,0.5382585751978892,-0.10918103452323795,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,6.0,4,0.0316622691292876,0.044854881266490766,D.Marino,0.0,-6.0,-1.0,103.32000000000002,1999,
D.McNabb,00-0011022,PHI,948.0,8.943396226415095,245.0,8.0,55.0,106.0,7.0,0.4326530612244898,-0.31871582228203765,0.0,0.0,0.0,0.0,0.0,0.0,1,28.0,4.0,5,0.0326530612244898,0.02857142857142857,D.McNabb,0.0,313.0,6.659574468085107,79.22,1999,290.5
D.Pederson,00-0012726,PHI,1276.0,10.722689075630251,247.0,7.0,61.0,119.0,9.0,0.4817813765182186,-0.21776049791625568,113.0,5.380952380952381,0.0,0.0,0.0,0.0,0,20.0,5.0,5,0.02834008097165992,0.03643724696356275,D.Pederson,0.0,33.0,1.65,54.33999999999999,1999,40.68
D.Wuerffel,00-0018333,NO,191.0,8.681818181818182,53.0,0.0,9.0,22.0,3.0,0.41509433962264153,-0.5325606367678505,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0,0.0,0.05660377358490566,D.Wuerffel,1.0,29.0,14.5,10.54,1999,
E.Grbac,00-0006300,KC,3389.0,11.52721088435374,526.0,22.0,163.0,294.0,15.0,0.55893536121673,0.048739803492746904,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,4.0,2,0.04182509505703422,0.028517110266159697,E.Grbac,0.0,10.0,0.5263157894736842,190.56,1999,236.56
E.Kramer,00-0009451,LAC,788.0,10.102564102564102,148.0,2.0,39.0,78.0,10.0,0.527027027027027,-0.21241146420001292,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,1.0,1,0.013513513513513514,0.06756756756756757,E.Kramer,0.0,1.0,0.2,17.619999999999997,1999,
E.Zeier,00-0018483,TB,270.0,8.4375,59.0,0.0,12.0,32.0,1.0,0.5423728813559322,-0.2913146694717514,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1.0,1,0.0,0.01694915254237288,E.Zeier,0.0,7.0,2.3333333333333335,7.500000000000001,1999,
G.Foley,00-0005379,SEA,283.0,15.722222222222221,36.0,2.0,13.0,18.0,0.0,0.5,0.19600140284455794,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,1.0,0,0.05555555555555555,0.0,G.Foley,0.0,-1.0,-0.3333333333333333,19.22,1999,
G.Frerotte,00-0005589,DET,2117.0,12.097142857142858,319.0,9.0,90.0,175.0,7.0,0.54858934169279,0.03792703671034227,99.0,6.1875,0.0,0.0,0.0,0.0,1,28.0,1.0,0,0.02821316614420063,0.0219435736677116,G.Frerotte,0.0,33.0,2.2,111.98,1999,97.44000000000001
J.Blake,00-0001335,CIN,2670.0,12.418604651162791,421.0,16.0,124.0,215.0,12.0,0.5106888361045131,-0.03350438622614125,0.0,0.0,0.0,0.0,0.0,0.0,2,30.0,5.0,4,0.03800475059382423,0.028503562945368172,J.Blake,2.0,332.0,5.26984126984127,188.0,1999,143.3
J.Delhomme,00-0004161,NO,521.0,12.404761904761905,83.0,3.0,24.0,42.0,5.0,0.5060240963855421,-0.19953511421837186,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,1.0,1,0.03614457831325301,0.060240963855421686,J.Delhomme,2.0,72.0,6.545454545454546,40.040000000000006,1999,
J.Fiedler,00-0005180,JAX,656.0,10.754098360655737,102.0,2.0,40.0,61.0,2.0,0.5980392156862745,0.14726981975879827,8.0,8.0,0.0,0.0,0.0,0.0,1,7.0,0.0,0,0.0196078431372549,0.0196078431372549,J.Fiedler,0.0,26.0,2.0,34.839999999999996,1999,144.20000000000002
J.Garcia,00-0005755,SF,2544.0,11.306666666666667,390.0,11.0,133.0,225.0,11.0,0.5769230769230769,0.056198528631414134,103.0,5.722222222222222,0.0,0.0,0.0,0.0,1,15.0,3.0,2,0.028205128205128206,0.028205128205128206,J.Garcia,2.0,231.0,5.133333333333334,156.85999999999999,1999,340.52
J.Garrett,00-0005794,DAL,314.0,9.8125,69.0,3.0,13.0,32.0,1.0,0.463768115942029,-0.2058262406876876,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0,0.043478260869565216,0.014492753623188406,J.Garrett,0.0,12.0,2.0,23.76,1999,
J.George,00-0005885,MIN,2816.0,14.743455497382199,358.0,23.0,120.0,191.0,12.0,0.5335195530726257,0.14023903223597922,155.0,6.458333333333333,0.0,0.0,0.0,0.0,0,28.0,5.0,4,0.06424581005586592,0.0335195530726257,J.George,0.0,41.0,2.5625,176.73999999999998,1999,73.96000000000001
J.Germaine,00-0005902,LA,136.0,15.11111111111111,19.0,1.0,6.0,9.0,2.0,0.47368421052631576,-0.35580199072443913,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,1,0.05263157894736842,0.10526315789473684,J.Germaine,0.0,0.0,0.0,3.4400000000000013,1999,
J.Harbaugh,00-0006808,LAC,2761.0,11.088353413654618,473.0,10.0,130.0,249.0,14.0,0.5264270613107822,-0.0752328256162383,0.0,0.0,0.0,0.0,0.0,0.0,1,37.0,3.0,1,0.021141649048625793,0.02959830866807611,J.Harbaugh,0.0,126.0,3.7058823529411766,135.04,1999,69.04
J.Kitna,00-0009311,SEA,3346.0,12.392592592592592,529.0,23.0,166.0,270.0,16.0,0.5103969754253308,-0.007443516074539251,0.0,0.0,0.0,0.0,0.0,0.0,0,32.0,6.0,4,0.043478260869565216,0.030245746691871456,J.Kitna,0.0,56.0,1.6,191.44,1999,151.01999999999998
J.Miller,00-0011276,CHI,1242.0,11.290909090909091,181.0,7.0,53.0,110.0,6.0,0.6077348066298343,0.10405302523029993,232.0,7.483870967741935,0.0,0.0,0.0,0.0,0,7.0,2.0,1,0.03867403314917127,0.03314917127071823,0,0.0,0.0,0.0,63.68000000000001,1999,17.78
J.Plummer,00-0013042,ARI,2111.0,10.502487562189055,409.0,9.0,110.0,201.0,24.0,0.49144254278728605,-0.19298458095537246,0.0,0.0,0.0,0.0,0.0,0.0,0,27.0,2.0,0,0.022004889975550123,0.05867970660146699,J.Plummer,2.0,121.0,3.1025641025641026,96.53999999999999,1999,142.14000000000001
K.Collins,00-0003292,NYG,2318.0,12.2,347.0,8.0,116.0,190.0,11.0,0.547550432276657,-0.021096235074463638,0.0,0.0,0.0,0.0,0.0,0.0,0,16.0,3.0,3,0.023054755043227664,0.03170028818443804,K.Collins,2.0,36.0,1.894736842105263,112.32,1999,214.9
K.Detmer,00-0004229,PHI,181.0,18.1,29.0,3.0,7.0,10.0,2.0,0.3448275862068966,-0.10505312161941262,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.10344827586206896,0.06896551724137931,K.Detmer,0.0,-2.0,-1.0,15.040000000000003,1999,
K.Graham,00-0006212,NYG,1697.0,10.60625,298.0,9.0,81.0,160.0,9.0,0.5369127516778524,-0.04558158311673088,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,2.0,0,0.030201342281879196,0.030201342281879196,K.Graham,1.0,132.0,3.7714285714285714,105.08,1999,35.82
K.Stewart,00-0015700,PIT,1464.0,9.15,297.0,6.0,80.0,160.0,10.0,0.5387205387205387,-0.20641984965627025,110.0,5.238095238095238,0.0,0.0,0.0,0.0,0,22.0,0.0,1,0.020202020202020204,0.03367003367003367,K.Stewart,2.0,258.0,4.607142857142857,98.36,1999,186.0
K.Warner,00-0017200,LA,4044.0,13.616161616161616,482.0,38.0,182.0,297.0,11.0,0.6161825726141079,0.3052512889291683,142.0,8.352941176470589,0.0,0.0,0.0,0.0,1,26.0,5.0,2,0.07883817427385892,0.022821576763485476,K.Warner,1.0,93.0,4.2272727272727275,305.06,1999,188.85999999999999
M.Brunell,00-0002110,JAX,3060.0,11.814671814671815,473.0,14.0,154.0,259.0,9.0,0.547568710359408,0.10738712259190322,0.0,0.0,0.0,0.0,0.0,0.0,2,29.0,3.0,1,0.02959830866807611,0.019027484143763214,M.Brunell,1.0,208.0,4.425531914893617,189.20000000000002,1999,231.2
M.Hasselbeck,00-0007091,GB,41.0,13.666666666666666,11.0,1.0,2.0,3.0,0.0,0.2727272727272727,-0.27821133341621085,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.09090909090909091,0.0,M.Hasselbeck,0.0,15.0,2.5,7.14,1999,7.66
M.Tomczak,00-0016538,PIT,1625.0,11.690647482014388,276.0,12.0,78.0,139.0,8.0,0.5036231884057971,-0.013018723909198917,0.0,0.0,0.0,0.0,0.0,0.0,1,15.0,1.0,1,0.043478260869565216,0.028985507246376812,M.Tomczak,0.0,19.0,1.1875,98.9,1999,
N.O'Donnell,00-0012261,TEN,1382.0,11.913793103448276,204.0,10.0,65.0,116.0,5.0,0.5686274509803921,0.054581359056310674,32.0,2.6666666666666665,0.0,0.0,0.0,0.0,0,9.0,3.0,2,0.049019607843137254,0.024509803921568627,N.O'Donnell,0.0,1.0,0.05263157894736842,81.38,1999,23.0
P.Justin,00-0008970,LA,91.0,10.11111111111111,15.0,0.0,5.0,9.0,0.0,0.6,0.14306062473574055,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,P.Justin,0.0,-1.0,-0.2,3.54,1999,
P.Manning,00-0010346,IND,4135.0,12.492447129909365,548.0,26.0,197.0,331.0,15.0,0.6040145985401459,0.19026199132446175,0.0,0.0,0.0,0.0,0.0,0.0,1,14.0,4.0,1,0.04744525547445255,0.02737226277372263,P.Manning,2.0,73.0,2.085714285714286,258.7,1999,296.12
